student_id,name,feedback
S013,Badal Shanker,"📘 Feedback Report for Badal Shanker (S013):

In *C101 - Python Basics*, you are doing reasonably well (latest score 71), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 23). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 70), but there is room to improve. You improved by -1 marks (-1.0%) over 3 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 53), but there is room to improve. You improved by +12 marks (+12.0%) over 3 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 51), but there is room to improve. You improved by +0 marks (+0.0%) over 2 attempts."
S014,Seher Acharya,"📘 Feedback Report for Seher Acharya (S014):

In *C101 - Python Basics*, you have consistently performed well (latest score 90). Great job! You improved by +17 marks (+17.0%) over 3 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 95). Great job! You improved by +12 marks (+12.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 38). We recommend practicing more on topics: regression,classification. You improved by -7 marks (-7.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 41). We recommend practicing more on topics: sql,normalization. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 66), but there is room to improve. You improved by +0 marks (+0.0%) over 3 attempts."
S015,Himmat Chandra,"📘 Feedback Report for Himmat Chandra (S015):

In *C101 - Python Basics*, you are doing reasonably well (latest score 66), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 46). We recommend practicing more on topics: numpy,pandas. You improved by +1 marks (+1.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 62), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 57), but there is room to improve. You improved by -1 marks (-1.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 93). Great job! You improved by +0 marks (+0.0%) over 1 attempts."
S016,Zaina Wali,"📘 Feedback Report for Zaina Wali (S016):

In *C101 - Python Basics*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by +8 marks (+8.0%) over 2 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 100). Great job! You improved by +10 marks (+10.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 59), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 88). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 77), but there is room to improve. You improved by +3 marks (+3.0%) over 3 attempts."
S017,Sara Dash,"📘 Feedback Report for Sara Dash (S017):

In *C101 - Python Basics*, you have consistently performed well (latest score 87). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 22). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 95). Great job! You improved by -5 marks (-5.0%) over 2 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 34). We recommend practicing more on topics: sql,normalization. You improved by +8 marks (+8.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 98). Great job! You improved by +7 marks (+7.0%) over 2 attempts."
S018,Aarna Baral,"📘 Feedback Report for Aarna Baral (S018):

In *C101 - Python Basics*, your performance needs attention (latest score 30). We recommend practicing more on topics: syntax,loops. You improved by +7 marks (+7.0%) over 3 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 62), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 76), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 46). We recommend practicing more on topics: sql,normalization. You improved by -12 marks (-12.0%) over 3 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 93). Great job! You improved by +0 marks (+0.0%) over 1 attempts."
S019,Myra Sura,"📘 Feedback Report for Myra Sura (S019):

In *C101 - Python Basics*, your performance needs attention (latest score 44). We recommend practicing more on topics: syntax,loops. You improved by +1 marks (+1.0%) over 2 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 91). Great job! You improved by -9 marks (-9.0%) over 3 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 85). Great job! You improved by -15 marks (-15.0%) over 2 attempts.
In *C104 - Database Systems*, you have consistently performed well (latest score 80). Great job! You improved by +1 marks (+1.0%) over 2 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 78), but there is room to improve. You improved by +3 marks (+3.0%) over 3 attempts."
S020,Yashvi Chakrabarti,"📘 Feedback Report for Yashvi Chakrabarti (S020):

In *C101 - Python Basics*, your performance needs attention (latest score 25). We recommend practicing more on topics: syntax,loops. You improved by -19 marks (-19.0%) over 2 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 80). Great job! You improved by -7 marks (-7.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 76), but there is room to improve. You improved by +1 marks (+1.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 26). We recommend practicing more on topics: sql,normalization. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 43). We recommend practicing more on topics: tcp,ip,routing. You improved by -15 marks (-15.0%) over 3 attempts."
S021,Shayak Khanna,"📘 Feedback Report for Shayak Khanna (S021):

In *C101 - Python Basics*, you have consistently performed well (latest score 81). Great job! You improved by +11 marks (+11.0%) over 3 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 78), but there is room to improve. You improved by -10 marks (-10.0%) over 2 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 83). Great job! You improved by +3 marks (+3.0%) over 3 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 59), but there is room to improve. You improved by -11 marks (-11.0%) over 2 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +11 marks (+11.0%) over 3 attempts."
S022,Anvi Karnik,"📘 Feedback Report for Anvi Karnik (S022):

In *C101 - Python Basics*, your performance needs attention (latest score 34). We recommend practicing more on topics: syntax,loops. You improved by -9 marks (-9.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 46). We recommend practicing more on topics: numpy,pandas. You improved by -8 marks (-8.0%) over 2 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 38). We recommend practicing more on topics: regression,classification. You improved by -8 marks (-8.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 64), but there is room to improve. You improved by -8 marks (-8.0%) over 2 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 23). We recommend practicing more on topics: tcp,ip,routing. You improved by +0 marks (+0.0%) over 1 attempts."
S023,Miraan Gola,"📘 Feedback Report for Miraan Gola (S023):

In *C101 - Python Basics*, you are doing reasonably well (latest score 70), but there is room to improve. You improved by -4 marks (-4.0%) over 2 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 54), but there is room to improve. You improved by +1 marks (+1.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 79), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 35). We recommend practicing more on topics: sql,normalization. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 100). Great job! You improved by +6 marks (+6.0%) over 2 attempts."
S024,Abram Sagar,"📘 Feedback Report for Abram Sagar (S024):

In *C101 - Python Basics*, your performance needs attention (latest score 43). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 62), but there is room to improve. You improved by -1 marks (-1.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 76), but there is room to improve. You improved by -13 marks (-13.0%) over 2 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 59), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts."
S025,Rohan Karnik,"📘 Feedback Report for Rohan Karnik (S025):

In *C101 - Python Basics*, your performance needs attention (latest score 35). We recommend practicing more on topics: syntax,loops. You improved by -10 marks (-10.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 41). We recommend practicing more on topics: numpy,pandas. You improved by -18 marks (-18.0%) over 2 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 66), but there is room to improve. You improved by +8 marks (+8.0%) over 3 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by +14 marks (+14.0%) over 3 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 48). We recommend practicing more on topics: tcp,ip,routing. You improved by +0 marks (+0.0%) over 1 attempts."
S026,Yuvraj  Sarkar,"📘 Feedback Report for Yuvraj  Sarkar (S026):

In *C101 - Python Basics*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +10 marks (+10.0%) over 3 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 80). Great job! You improved by +1 marks (+1.0%) over 2 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 100). Great job! You improved by +26 marks (+26.0%) over 3 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 62), but there is room to improve. You improved by +18 marks (+18.0%) over 2 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 72), but there is room to improve. You improved by +10 marks (+10.0%) over 2 attempts."
S027,Prisha Kuruvilla,"📘 Feedback Report for Prisha Kuruvilla (S027):

In *C101 - Python Basics*, your performance needs attention (latest score 36). We recommend practicing more on topics: syntax,loops. You improved by -11 marks (-11.0%) over 3 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 81). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 39). We recommend practicing more on topics: regression,classification. You improved by +19 marks (+19.0%) over 3 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by -10 marks (-10.0%) over 3 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 66), but there is room to improve. You improved by -16 marks (-16.0%) over 3 attempts."
S028,Shanaya Date,"📘 Feedback Report for Shanaya Date (S028):

In *C101 - Python Basics*, you have consistently performed well (latest score 90). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 65), but there is room to improve. You improved by -5 marks (-5.0%) over 2 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 25). We recommend practicing more on topics: regression,classification. You improved by +5 marks (+5.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 40). We recommend practicing more on topics: sql,normalization. You improved by +10 marks (+10.0%) over 2 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 50), but there is room to improve. You improved by -9 marks (-9.0%) over 3 attempts."
S029,Shaan Madan,"📘 Feedback Report for Shaan Madan (S029):

In *C101 - Python Basics*, you have consistently performed well (latest score 82). Great job! You improved by -7 marks (-7.0%) over 2 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 80). Great job! You improved by +6 marks (+6.0%) over 3 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 44). We recommend practicing more on topics: sql,normalization. You improved by +9 marks (+9.0%) over 3 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 58), but there is room to improve. You improved by +1 marks (+1.0%) over 2 attempts."
S030,Zara Sachdev,"📘 Feedback Report for Zara Sachdev (S030):

In *C101 - Python Basics*, you are doing reasonably well (latest score 75), but there is room to improve. You improved by -12 marks (-12.0%) over 2 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 100). Great job! You improved by +19 marks (+19.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 74), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 66), but there is room to improve. You improved by +0 marks (+0.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 96). Great job! You improved by +4 marks (+4.0%) over 3 attempts."
S031,Ela Hegde,"📘 Feedback Report for Ela Hegde (S031):

In *C101 - Python Basics*, you have consistently performed well (latest score 92). Great job! You improved by +15 marks (+15.0%) over 2 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 20). We recommend practicing more on topics: numpy,pandas. You improved by -12 marks (-12.0%) over 3 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 86). Great job! You improved by -3 marks (-3.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 65), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 90). Great job! You improved by +0 marks (+0.0%) over 1 attempts."
S032,Sara Sethi,"📘 Feedback Report for Sara Sethi (S032):

In *C101 - Python Basics*, you have consistently performed well (latest score 94). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 61), but there is room to improve. You improved by +2 marks (+2.0%) over 3 attempts.
In *C103 - Machine Learning*, you have consistently performed well (latest score 93). Great job! You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 44). We recommend practicing more on topics: sql,normalization. You improved by +19 marks (+19.0%) over 2 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 51), but there is room to improve. You improved by +3 marks (+3.0%) over 3 attempts."
S033,Lavanya Biswas,"📘 Feedback Report for Lavanya Biswas (S033):

In *C101 - Python Basics*, you are doing reasonably well (latest score 56), but there is room to improve. You improved by +7 marks (+7.0%) over 3 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 72), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 67), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 41). We recommend practicing more on topics: sql,normalization. You improved by -1 marks (-1.0%) over 2 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 40). We recommend practicing more on topics: tcp,ip,routing. You improved by +0 marks (+0.0%) over 1 attempts."
S034,Madhav Singhal,"📘 Feedback Report for Madhav Singhal (S034):

In *C101 - Python Basics*, you are doing reasonably well (latest score 69), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 39). We recommend practicing more on topics: numpy,pandas. You improved by +3 marks (+3.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 64), but there is room to improve. You improved by +13 marks (+13.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 79), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 20). We recommend practicing more on topics: tcp,ip,routing. You improved by -5 marks (-5.0%) over 3 attempts."
S035,Priyansh Saha,"📘 Feedback Report for Priyansh Saha (S035):

In *C101 - Python Basics*, your performance needs attention (latest score 47). We recommend practicing more on topics: syntax,loops. You improved by +10 marks (+10.0%) over 2 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 60), but there is room to improve. You improved by +18 marks (+18.0%) over 2 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 35). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 48). We recommend practicing more on topics: sql,normalization. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 52), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts."
S036,Umang Chacko,"📘 Feedback Report for Umang Chacko (S036):

In *C101 - Python Basics*, your performance needs attention (latest score 48). We recommend practicing more on topics: syntax,loops. You improved by +0 marks (+0.0%) over 1 attempts.
In *C102 - Data Science*, you have consistently performed well (latest score 100). Great job! You improved by +0 marks (+0.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 66), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 64), but there is room to improve. You improved by -15 marks (-15.0%) over 2 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 31). We recommend practicing more on topics: tcp,ip,routing. You improved by -2 marks (-2.0%) over 3 attempts."
S037,Aarav Ghose,"📘 Feedback Report for Aarav Ghose (S037):

In *C101 - Python Basics*, you are doing reasonably well (latest score 57), but there is room to improve. You improved by -29 marks (-29.0%) over 3 attempts.
In *C102 - Data Science*, you are doing reasonably well (latest score 73), but there is room to improve. You improved by +6 marks (+6.0%) over 3 attempts.
In *C103 - Machine Learning*, you are doing reasonably well (latest score 55), but there is room to improve. You improved by +13 marks (+13.0%) over 2 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 57), but there is room to improve. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, your performance needs attention (latest score 40). We recommend practicing more on topics: tcp,ip,routing. You improved by -8 marks (-8.0%) over 2 attempts."
S038,Suhana Rattan,"📘 Feedback Report for Suhana Rattan (S038):

In *C101 - Python Basics*, you are doing reasonably well (latest score 70), but there is room to improve. You improved by +9 marks (+9.0%) over 3 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 31). We recommend practicing more on topics: numpy,pandas. You improved by +0 marks (+0.0%) over 1 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 20). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, your performance needs attention (latest score 43). We recommend practicing more on topics: sql,normalization. You improved by +0 marks (+0.0%) over 1 attempts.
In *C105 - Computer Networks*, you are doing reasonably well (latest score 63), but there is room to improve. You improved by +4 marks (+4.0%) over 2 attempts."
S039,Tanya Swaminathan,"📘 Feedback Report for Tanya Swaminathan (S039):

In *C101 - Python Basics*, you are doing reasonably well (latest score 58), but there is room to improve. You improved by +25 marks (+25.0%) over 3 attempts.
In *C102 - Data Science*, your performance needs attention (latest score 29). We recommend practicing more on topics: numpy,pandas. You improved by -10 marks (-10.0%) over 3 attempts.
In *C103 - Machine Learning*, your performance needs attention (latest score 27). We recommend practicing more on topics: regression,classification. You improved by +0 marks (+0.0%) over 1 attempts.
In *C104 - Database Systems*, you are doing reasonably well (latest score 79), but there is room to improve. You improved by +4 marks (+4.0%) over 2 attempts.
In *C105 - Computer Networks*, you have consistently performed well (latest score 93). Great job! You improved by +0 marks (+0.0%) over 1 attempts."
